"Partner","Trial","PlayerResp","RT","PartnerResp","CoopRate","SocRep","index","Rating","ID"
"A",38,0,325,1,30,"High",5003,5,1
"A",41,1,565,0,30,"High",5006,5,1
"A",85,0,416,0,30,"High",5049,5,1
"A",50,1,193,0,30,"High",5014,5,1
"A",79,1,279,0,30,"High",5043,5,1
"A",76,1,18111,0,30,"High",5040,5,1
"A",81,1,148,0,30,"High",5045,5,1
"A",20,0,720,0,30,"High",4985,5,1
"A",92,1,353,1,30,"High",5056,5,1
"A",10,0,218,0,30,"High",4975,5,1
"A",14,1,1166,0,30,"High",4979,5,1
"A",53,1,848,0,30,"High",5017,5,1
"A",4,1,976,0,30,"High",4969,5,1
"A",45,1,1011,0,30,"High",5009,5,1
"A",6,1,1392,0,30,"High",4971,5,1
"A",61,0,18546,0,30,"High",5025,5,1
"A",100,0,42,0,30,"High",5063,5,1
"A",67,1,229,1,30,"High",5031,5,1
"A",27,0,327,1,30,"High",4992,5,1
"A",69,1,221,0,30,"High",5033,5,1
"A",24,0,250,1,30,"High",4989,5,1
"A",30,1,378,1,30,"High",4995,5,1
"A",34,0,61,0,30,"High",4999,5,1
"A",57,1,464,0,30,"High",5021,5,1
"B",89,1,536,1,70,"Low",5053,5,1
"B",8,0,617,0,70,"Low",4973,5,1
"B",52,1,273,1,70,"Low",5016,5,1
"B",1,1,9406,1,70,"Low",4966,5,1
"B",35,1,215,1,70,"Low",5000,5,1
"B",46,0,289,1,70,"Low",5010,5,1
"B",86,0,435,0,70,"Low",5050,5,1
"B",32,0,214,1,70,"Low",4997,5,1
"B",73,1,294,1,70,"Low",5037,5,1
"B",99,1,207,0,70,"Low",5062,5,1
"B",19,0,647,0,70,"Low",4984,5,1
"B",82,1,118,1,70,"Low",5046,5,1
"B",21,1,229,1,70,"Low",4986,5,1
"B",39,0,209,0,70,"Low",5004,5,1
"B",80,0,173,1,70,"Low",5044,5,1
"B",55,0,305,1,70,"Low",5019,5,1
"B",68,0,355,1,70,"Low",5032,5,1
"B",70,1,271,1,70,"Low",5034,5,1
"B",16,1,465,1,70,"Low",4981,5,1
"B",58,0,226,0,70,"Low",5022,5,1
"B",63,0,775,1,70,"Low",5027,5,1
"B",95,0,574,0,70,"Low",5059,5,1
"B",12,0,511,1,70,"Low",4977,5,1
"B",25,0,651,1,70,"Low",4990,5,1
"C",78,1,110,0,30,"Low",5042,5,1
"C",48,1,234,0,30,"Low",5012,5,1
"C",62,0,867,0,30,"Low",5026,5,1
"C",43,0,411,1,30,"Low",5008,5,1
"C",36,0,278,0,30,"Low",5001,5,1
"C",11,0,45,1,30,"Low",4976,5,1
"C",51,1,64,0,30,"Low",5015,5,1
"C",93,1,499,0,30,"Low",5057,5,1
"C",90,1,596,0,30,"Low",5054,5,1
"C",15,1,1474,0,30,"Low",4980,5,1
"C",3,0,938,0,30,"Low",4968,5,1
"C",88,1,292,0,30,"Low",5052,5,1
"C",40,1,98,0,30,"Low",5005,5,1
"C",18,0,282,0,30,"Low",4983,5,1
"C",60,0,24309,0,30,"Low",5024,5,1
"C",31,1,492,1,30,"Low",4996,5,1
"C",56,0,419,0,30,"Low",5020,5,1
"C",22,0,279,0,30,"Low",4987,5,1
"C",65,1,641,1,30,"Low",5029,5,1
"C",72,0,562,0,30,"Low",5036,5,1
"C",97,1,828,0,30,"Low",5060,5,1
"C",5,0,2753,1,30,"Low",4970,5,1
"C",28,1,224,0,30,"Low",4993,5,1
"C",74,1,418,1,30,"Low",5038,5,1
"C",83,0,1667,0,30,"Low",5047,5,1
"D",37,1,278,1,70,"High",5002,5,1
"D",47,1,179,1,70,"High",5011,5,1
"D",77,0,152,0,70,"High",5041,5,1
"D",94,1,310,1,70,"High",5058,5,1
"D",91,0,233,1,70,"High",5055,5,1
"D",9,0,353,0,70,"High",4974,5,1
"D",7,0,950,0,70,"High",4972,5,1
"D",26,1,270,1,70,"High",4991,5,1
"D",71,1,1256,1,70,"High",5035,5,1
"D",87,1,246,0,70,"High",5051,5,1
"D",2,1,7485,1,70,"High",4967,5,1
"D",49,0,73,1,70,"High",5013,5,1
"D",98,0,284,1,70,"High",5061,5,1
"D",66,0,1061,0,70,"High",5030,5,1
"D",75,0,837,0,70,"High",5039,5,1
"D",64,1,781,0,70,"High",5028,5,1
"D",23,1,289,1,70,"High",4988,5,1
"D",29,0,383,1,70,"High",4994,5,1
"D",84,1,32,1,70,"High",5048,5,1
"D",33,1,211,0,70,"High",4998,5,1
"D",59,1,229,1,70,"High",5023,5,1
"D",17,1,1352,1,70,"High",4982,5,1
"D",13,1,1119,1,70,"High",4978,5,1
"D",54,1,73,1,70,"High",5018,5,1
"D",42,1,549,1,70,"High",5007,5,1
"A",42,0,1246,0,30,"High",1036,1,2
"A",2,1,2323,0,30,"High",997,1,2
"A",68,1,368,0,30,"High",1062,1,2
"A",95,1,410,0,30,"High",1089,1,2
"A",27,0,898,0,30,"High",1022,1,2
"A",34,1,405,0,30,"High",1029,1,2
"A",92,0,672,0,30,"High",1086,1,2
"A",54,0,1467,1,30,"High",1048,1,2
"A",99,0,742,0,30,"High",1093,1,2
"A",5,1,12045,0,30,"High",1000,1,2
"A",45,1,370,0,30,"High",1039,1,2
"A",30,1,418,1,30,"High",1025,1,2
"A",85,1,384,0,30,"High",1079,1,2
"A",82,0,651,1,30,"High",1076,1,2
"A",72,0,1145,0,30,"High",1066,1,2
"A",76,1,750,0,30,"High",1070,1,2
"A",20,1,2657,0,30,"High",1015,1,2
"A",16,1,1288,0,30,"High",1011,1,2
"A",79,0,676,0,30,"High",1073,1,2
"A",50,0,1732,0,30,"High",1044,1,2
"A",64,1,426,0,30,"High",1058,1,2
"A",37,1,297,1,30,"High",1032,1,2
"A",9,0,959,0,30,"High",1004,1,2
"A",59,1,1340,0,30,"High",1053,1,2
"A",22,0,740,0,30,"High",1017,1,2
"B",69,1,383,1,70,"Low",1063,4,2
"B",3,1,21560,1,70,"Low",998,4,2
"B",8,1,881,1,70,"Low",1003,4,2
"B",29,1,633,1,70,"Low",1024,4,2
"B",41,1,2477,1,70,"Low",1035,4,2
"B",83,1,734,0,70,"Low",1077,4,2
"B",88,1,1364,0,70,"Low",1082,4,2
"B",57,0,1367,1,70,"Low",1051,4,2
"B",26,1,855,1,70,"Low",1021,4,2
"B",24,1,923,1,70,"Low",1019,4,2
"B",55,1,412,1,70,"Low",1049,4,2
"B",75,1,33603,1,70,"Low",1069,4,2
"B",77,1,819,1,70,"Low",1071,4,2
"B",46,1,1022,1,70,"Low",1040,4,2
"B",91,1,1268,1,70,"Low",1085,4,2
"B",17,1,818,0,70,"Low",1012,4,2
"B",39,0,1088,1,70,"Low",1034,4,2
"B",49,1,690,1,70,"Low",1043,4,2
"B",11,0,771,1,70,"Low",1006,4,2
"B",36,1,273,0,70,"Low",1031,4,2
"B",96,1,315,0,70,"Low",1090,4,2
"B",65,1,560,0,70,"Low",1059,4,2
"B",13,0,1114,1,70,"Low",1008,4,2
"B",100,1,416,1,70,"Low",1094,4,2
"B",62,1,1025,1,70,"Low",1056,4,2
"C",44,0,726,1,30,"Low",1038,2,2
"C",70,1,671,0,30,"Low",1064,2,2
"C",87,1,677,0,30,"Low",1081,2,2
"C",94,1,608,0,30,"Low",1088,2,2
"C",73,1,381,0,30,"Low",1067,2,2
"C",98,0,901,1,30,"Low",1092,2,2
"C",28,1,495,0,30,"Low",1023,2,2
"C",6,1,1228,0,30,"Low",1001,2,2
"C",80,0,853,1,30,"Low",1074,2,2
"C",12,1,641,1,30,"Low",1007,2,2
"C",60,1,822,0,30,"Low",1054,2,2
"C",1,0,39764,0,30,"Low",996,2,2
"C",56,1,1233,1,30,"Low",1050,2,2
"C",32,1,571,0,30,"Low",1027,2,2
"C",35,1,325,0,30,"Low",1030,2,2
"C",84,1,4058,0,30,"Low",1078,2,2
"C",48,1,679,0,30,"Low",1042,2,2
"C",63,0,775,0,30,"Low",1057,2,2
"C",66,1,264,0,30,"Low",1060,2,2
"C",15,1,844,0,30,"Low",1010,2,2
"C",21,1,956,1,30,"Low",1016,2,2
"C",18,1,862,0,30,"Low",1013,2,2
"C",90,0,15567,0,30,"Low",1084,2,2
"C",52,0,26049,0,30,"Low",1046,2,2
"D",71,1,265,1,70,"High",1065,1,2
"D",7,0,1160,0,70,"High",1002,1,2
"D",74,1,424,1,70,"High",1068,1,2
"D",43,1,466,1,70,"High",1037,1,2
"D",4,0,1511,1,70,"High",999,1,2
"D",78,0,776,1,70,"High",1072,1,2
"D",86,1,227,0,70,"High",1080,1,2
"D",14,0,423,1,70,"High",1009,1,2
"D",33,1,259,1,70,"High",1028,1,2
"D",97,1,314,1,70,"High",1091,1,2
"D",89,1,1143,1,70,"High",1083,1,2
"D",47,1,3153,0,70,"High",1041,1,2
"D",38,1,13143,1,70,"High",1033,1,2
"D",19,1,400,1,70,"High",1014,1,2
"D",81,0,677,1,70,"High",1075,1,2
"D",25,1,1423,0,70,"High",1020,1,2
"D",31,1,821,0,70,"High",1026,1,2
"D",51,1,808,1,70,"High",1045,1,2
"D",23,1,792,1,70,"High",1018,1,2
"D",61,1,308,1,70,"High",1055,1,2
"D",10,0,715,0,70,"High",1005,1,2
"D",58,1,402,1,70,"High",1052,1,2
"D",67,1,259,0,70,"High",1061,1,2
"D",93,1,775,0,70,"High",1087,1,2
"D",53,1,1233,1,70,"High",1047,1,2
"A",95,0,300,1,30,"High",3671,0,3
"A",28,1,1323,0,30,"High",3604,0,3
"A",54,1,456,1,30,"High",3630,0,3
"A",52,1,730,0,30,"High",3628,0,3
"A",6,0,3032,1,30,"High",3582,0,3
"A",46,0,4223,0,30,"High",3622,0,3
"A",38,1,1411,0,30,"High",3614,0,3
